field_id,.row_id,Location_ID,Longitude,Latitude,corner_id,lat_ref,lon_ref,lambda,phi,x,y,rotate_x,rotate_y,new_x,new_y,rotate_radian,rotate_degree,clock_type,rotated_mid_x,rotated_mid_y
1,1,1,-78.754707,35.786636,1,0.6245774523728937,-1.374529881071222,-1.3745289385934258,0.6245946264127334,5.326884403097263,119.65858266077635,119.77709339364438,-2.6645352591003757e-15,59.776584627678155,-37.182115242036915,1.5263083382924305,87.45102601978216,clockwise,60.000508765966224,37.182115242036915
1,2,1,-78.755459,35.786665,2,0.6245774523728937,-1.374529881071222,-1.374542063469401,0.6245951325582165,-68.85490063650172,123.18510593025594,120.00101753193245,74.26522373232135,60.000508765966224,37.08310849028443,1.5263083382924305,87.45102601978216,clockwise,60.000508765966224,37.182115242036915
1,3,1,-78.754761,35.785652,3,0.6245774523728937,-1.374529881071222,-1.374529881071222,0.6245774523728937,0,0,0,0,-60.000508765966224,-37.182115242036915,1.5263083382924305,87.45102601978216,clockwise,60.000508765966224,37.182115242036915
1,4,1,-78.755514,35.785681,4,0.6245774523728937,-1.374529881071222,-1.3745430234004894,0.6245779585183768,-74.2808898483604,3.5265232694796023,0.2195166189109976,74.36423048407383,-59.78099214705523,37.182115242036915,1.5263083382924305,87.45102601978216,clockwise,60.000508765966224,37.182115242036915
2,1,2,-79.967192,40.444045,1,0.7058817480747501,-1.3956907939744692,-1.3956907939744692,0.7058817480747501,0,0,0,0,59.964481946517736,-37.24295305476549,0.8931655338153475,51.17461549416862,counter clockwise,-59.964481946517736,37.24295305476549
2,2,2,-79.968002,40.444811,2,0.7058817480747501,-1.3956907939744692,-1.3957049311414105,0.7058951172968203,-74.96157454470881,93.14885601332986,-119.5656599313281,7.105427357601002e-15,-59.60117798481036,-37.242953054765486,0.8931655338153475,51.17461549416862,counter clockwise,-59.964481946517736,37.24295305476549
2,3,2,-79.966566,40.44443,3,0.7058817480747501,-1.3956907939744692,-1.3956798682133518,0.7058884675923701,57.93343044135296,46.81763650703476,-0.15245277974029392,74.48590610953099,59.81202916677744,37.24295305476549,0.8931655338153475,51.17461549416862,counter clockwise,-59.964481946517736,37.24295305476549
2,4,2,-79.967378,40.445197,4,0.7058817480747501,-1.3956907939744692,-1.395694040286878,0.705901854267733,-17.21334917475823,140.08809677229002,-119.92896389303547,74.41785986332607,-59.964481946517736,37.17490680856058,0.8931655338153475,51.17461549416862,counter clockwise,-59.964481946517736,37.24295305476549
3,1,3,-84.500708,38.017052,1,0.6635227293018953,-1.4748155748663125,-1.4748155748663125,0.6635227293018953,0,0,0,0,-59.93571410926732,-37.223053043615266,1.2208349483593464,69.94869002306235,clockwise,59.93571410926732,37.223053043615266
3,2,3,-84.501437,38.017264,2,0.6635227293018953,-1.4748155748663125,-1.4748282983165597,0.6635264293999095,-69.84041102863415,25.780101142082525,0.2718749590980316,74.44610608723053,-59.663839150169295,37.223053043615266,1.2208349483593464,69.94869002306235,clockwise,59.93571410926732,37.223053043615266
3,3,3,-84.500279,38.017978,3,0.6635227293018953,-1.4748155748663125,-1.4748080874038214,0.6635388910507688,41.09930094137178,112.60553612181714,119.87142821853465,1.4210854715202004e-14,59.93571410926732,-37.22305304361525,1.2208349483593464,69.94869002306235,clockwise,59.93571410926732,37.223053043615266
3,4,3,-84.501009,38.018187,4,0.6635227293018953,-1.4748155748663125,-1.474820828307361,0.6635425387889053,-28.836531337550007,138.02082451121768,119.76788692581692,74.41066321208662,59.8321728165496,37.18761016847135,1.2208349483593464,69.94869002306235,clockwise,59.93571410926732,37.223053043615266
